feature_count,rank,feature_name,standardization_mean,standardization_scale,standardized_coefficient,raw_coefficient
4,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.33268100279784,0.0147623049086567
4,2,white_cov_xx,675.761063832636,232.407154909154,0.192294710393781,0.000827404433692876
4,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.859120988011882,-0.0221584123856612
4,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.839774917203683,-0.0208317067449136
6,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.614831888759432,0.0272823988538578
6,2,white_cov_xx,675.761063832636,232.407154909154,0.0616582906840723,0.000265302893571302
6,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-1.64971889732078,-0.0425494804076961
6,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.981906848233665,-0.0243574737637286
6,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.493971306124115,0.0148736717810858
6,6,right_edge_valid_percent,25.2679528403001,34.319023196751,1.21502110064493,0.035403720370455
8,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.216841069019582,0.00962205220816695
8,2,white_cov_xx,675.761063832636,232.407154909154,0.15456906539116,0.000665078772861275
8,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.733961093589614,-0.0189302936533133
8,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.666522779881466,-0.0165339626188521
8,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.401925513942423,0.0121021365020781
8,6,right_edge_valid_percent,25.2679528403001,34.319023196751,0.610841448776862,0.0177989170983949
8,7,left_edge_slope,-0.0667789996372537,0.706261934371931,0.110517542663764,0.156482371886636
8,8,white_centroid_y,50.3648174115896,8.33766786669868,0.135268329135588,0.0162237608043684
12,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.171051495086551,0.00759019692832805
12,2,white_cov_xx,675.761063832636,232.407154909154,0.120178836220892,0.000517104717657549
12,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.518428662195385,-0.0133712902487177
12,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.536805444768406,-0.0133161557643619
12,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.250487178320045,0.00754226820366476
12,6,right_edge_valid_percent,25.2679528403001,34.319023196751,0.500011840143364,0.0145695242337404
12,7,left_edge_slope,-0.0667789996372537,0.706261934371931,0.126470701438689,0.179070533584905
12,8,white_centroid_y,50.3648174115896,8.33766786669868,0.154227266038152,0.0184976504825945
12,9,left_edge_residual,2.01256015905937,6.07440346651674,-0.0363915609093321,-0.00599096867864133
12,10,row_dark_max,83.8553054662379,19.2139053095694,-0.504204470495578,-0.0262416443909745
12,11,center_column_dark_std,20.2577578100082,10.2803915502392,-0.390569496291214,-0.0379916946142122
12,12,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.382369119995847,-0.00985314046625663
16,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.217364155247287,0.0096452635076459
16,2,white_cov_xx,675.761063832636,232.407154909154,0.122673222450615,0.000527837546561622
16,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.353777896086434,-0.00912462461492837
16,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.387984922999215,-0.00962446957129965
16,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.201878815783783,0.00607865114490644
16,6,right_edge_valid_percent,25.2679528403001,34.319023196751,0.382199890299818,0.0111366774079981
16,7,left_edge_slope,-0.0667789996372537,0.706261934371931,0.139429840055155,0.19741944634061
16,8,white_centroid_y,50.3648174115896,8.33766786669868,0.14057063808022,0.0168597070940749
16,9,left_edge_residual,2.01256015905937,6.07440346651674,-0.0490727650784954,-0.0080786146901492
16,10,row_dark_max,83.8553054662379,19.2139053095694,-0.367958885531585,-0.0191506557153857
16,11,center_column_dark_std,20.2577578100082,10.2803915502392,-0.33290172393382,-0.0323822027893554
16,12,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.277550714978591,-0.00715211045605282
16,13,dark_left_edge,68.8933547695606,35.7465282866953,-0.341808045126853,-0.00956199277270995
16,14,dark_right_edge,70.761655948553,36.1981851183191,-0.454949399256361,-0.0125682930724093
16,15,grid_dark_r3_c2,68.688370846731,35.7349800212935,-0.339643386451812,-0.00950450752314476
16,16,column_dark_std,22.5358380646541,9.33625713056298,0.156693215788326,0.0167833012305732
24,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.286117096658179,0.0126960896021295
24,2,white_cov_xx,675.761063832636,232.407154909154,0.182183967271606,0.000783899993710695
24,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.225247714595576,-0.00580957958027147
24,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.225302749185588,-0.00558892710857024
24,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.20948869024532,0.00630778748062654
24,6,right_edge_valid_percent,25.2679528403001,34.319023196751,0.265594210128375,0.00773897930036422
24,7,left_edge_slope,-0.0667789996372537,0.706261934371931,0.121931913996611,0.172644040493339
24,8,white_centroid_y,50.3648174115896,8.33766786669868,0.0237651203208651,0.00285033185548023
24,9,left_edge_residual,2.01256015905937,6.07440346651674,-0.0617709603959238,-0.0101690578731586
24,10,row_dark_max,83.8553054662379,19.2139053095694,-0.218291363076406,-0.0113611137121451
24,11,center_column_dark_std,20.2577578100082,10.2803915502392,-0.224580724531773,-0.0218455419167909
24,12,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.19563312424265,-0.00504120377983558
24,13,dark_left_edge,68.8933547695606,35.7465282866953,-0.226639877029597,-0.0063401926814233
24,14,dark_right_edge,70.761655948553,36.1981851183191,-0.250024768602179,-0.00690710785043327
24,15,grid_dark_r3_c2,68.688370846731,35.7349800212935,-0.162033336409919,-0.00453430605847179
24,16,column_dark_std,22.5358380646541,9.33625713056298,0.125671699548973,0.0134606082278493
24,17,dark_left,69.7151301370959,33.3106843996979,-0.204179777145019,-0.00612955815302525
24,18,longest_white_run_mean,22.6676714898178,25.19831774387,0.257189228324628,0.010206603112908
24,19,white_right_border_max,22.6736334405145,36.3132262314459,0.270589807551851,0.00745154963172979
24,20,center_row_dark_max,89.6338244468973,14.9446362787665,-0.140919532704924,-0.00942943876828534
24,21,grid_dark_r2_c3,65.4756162915327,34.9239587340865,-0.14059000683605,-0.00402560339469279
24,22,dark_bottom_half,70.8528938906752,26.1984377376948,-0.281791932713614,-0.0107560586449842
24,23,dark_all,69.7559619506967,26.9620729239955,-0.244223223697538,-0.00905802845300466
24,24,dark_right,70.8481519373802,31.8037392051152,-0.245306306958577,-0.00771312786136551
32,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.279386473025498,0.0123974265662018
32,2,white_cov_xx,675.761063832636,232.407154909154,0.184686429306612,0.000794667571137404
32,3,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.192506785800373,-0.00496512692196483
32,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.198288197367218,-0.0049187960891782
32,5,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.202027377528116,0.00608312439790116
32,6,right_edge_valid_percent,25.2679528403001,34.319023196751,0.250845236903391,0.00730921843157642
32,7,left_edge_slope,-0.0667789996372537,0.706261934371931,0.111776313349523,0.158264671943454
32,8,white_centroid_y,50.3648174115896,8.33766786669868,0.00800220361099236,0.000959765217196262
32,9,left_edge_residual,2.01256015905937,6.07440346651674,-0.0812732100369866,-0.013379619988198
32,10,row_dark_max,83.8553054662379,19.2139053095694,-0.195250401338994,-0.0101619321107901
32,11,center_column_dark_std,20.2577578100082,10.2803915502392,-0.197380382231453,-0.0191996949986658
32,12,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.177483819336632,-0.00457352048311469
