content_sha256,source_file,scenario,segment,begin_frame,ground_truth,motion_context,training_danger_probability,training_prediction,group_validation_danger_probability,group_validation_prediction
D18BDE2152333CC1FB3CCD3F06EE70862DE16EA4DA968E0A49DB116378E7B962,太阳能板直角边源.txt,太阳能板直角边源,5,210,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
0B541DF0F0C03512DB5BE3E23A45AFD70D7189AA6FBE217286EB73CC4CB91005,太阳能板直角边源.txt,太阳能板直角边源,5,245,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
AD129F0D5FC025802EAB18011859539B7CD43E76EA0C9244358913D53B5205F2,太阳能板直角边源.txt,太阳能板直角边源,5,279,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
D4770D36E6BCED06A02F0310FF60365583C85BD1023C208FDBFF716656B88292,太阳能板直角边源.txt,太阳能板直角边源,5,349,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
E100C652211E59E78D24CAC65DFE895DDF4F15BF833F401CFFE0654B59B0EDE5,太阳能板直角边源.txt,太阳能板直角边源,5,383,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
1FA8364AB76A4B0C520BC0BE20401BAF701C9891D9B16B444458BC8B6F6AF7C5,太阳能板直角边源.txt,太阳能板直角边源,5,418,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
423CF4C3220714A9C3A9B2B283EBE747BCE898CB44E213F72EBA7125E1B80969,太阳能板直角边源.txt,太阳能板直角边源,5,452,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
510A0F18689F3B74A9F9B75058BB5A528EB0379E1AD404C4A70B10DF218C1871,太阳能板直角边源.txt,太阳能板直角边源,5,487,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
3FF5DCEA5334EF4CC81870EF702D964C621B5FD367270271E192FCAC73B2908E,太阳能板直角边源.txt,太阳能板直角边源,5,521,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
C9C2655A7775A6E0D782D3BAFAE63EE52604FD2E45DE03E24668FF84DDF80108,太阳能板直角边源.txt,太阳能板直角边源,5,556,DANGER,STATIONARY,0.990654205607477,DANGER,0.0909090909090909,SAFE
CB6A71CF87A6E02438D50EC419C9F3CE2FBB500FE80C29E5B46658FB00F2092E,太阳能板直角边源.txt,太阳能板直角边源,6,868,SAFE,FORWARD,0.00561797752808989,SAFE,0.8,DANGER
E59780318301DEC60F894A87E8CC8F55DE1832AF229040E76C976E4EA8A13894,太阳能板直角边源.txt,太阳能板直角边源,7,3,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
D2C0F694616045A7F603B66DA8D4F5AFF6A9B71A8D912117EDB6138C471DDF7F,太阳能板直角边源.txt,太阳能板直角边源,7,201,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
