model_name,feature_count,input_fraction_bits,coefficient_fraction_bits,accumulator_fraction_bits,decision_flips,danger_to_safe_flips,fixed_missed_danger,fixed_false_danger,max_logit_error,mean_logit_error,minimum_float_margin,minimum_fixed_margin,max_abs_accumulator,int64_headroom_bits
STRICT,24,4,14,18,0,0,0,7,0.00743353124349921,0.00279022453903943,0.0304476677155083,0.0338367611100141,2231335,40
STRICT,24,4,16,20,0,0,0,7,0.00243619998137046,0.00108671722257164,0.0304476677155083,0.0308651119400922,8922154,38
STRICT,24,4,18,22,0,0,0,7,0.00139105913169413,0.000411691110938187,0.0304476677155083,0.0307149082352582,35693519,36
STRICT,24,4,20,24,0,0,0,7,0.001341468067241,0.000417395744190263,0.0304476677155083,0.0307065039803449,142770951,34
STRICT,24,4,22,26,0,0,0,7,0.00134585416951083,0.000408144350506642,0.0304476677155083,0.0306240707566205,571085351,32
STRICT,24,6,14,20,0,0,0,7,0.00690138097494453,0.00277647237694753,0.0304476677155083,0.0335935741593305,8924873,38
STRICT,24,6,16,22,0,0,0,7,0.00175701514324977,0.000939195313806295,0.0304476677155083,0.030622878663725,35686751,36
STRICT,24,6,18,24,0,0,0,7,0.000424485647315453,0.00012528108697351,0.0304476677155083,0.0304718404938642,142766607,34
STRICT,24,6,20,26,0,0,0,7,0.000358036131930639,0.000101541272697698,0.0304476677155083,0.0304636448552076,571053927,32
STRICT,24,6,22,28,0,0,0,7,0.000335678375147808,8.85227214950707e-05,0.0304476677155083,0.0303812153567735,2284221890,30
STRICT,24,8,14,22,0,0,0,7,0.00676257637643118,0.00275960752060781,0.0304476677155083,0.0336515098740522,35698933,36
STRICT,24,8,16,24,0,0,0,7,0.00162931237723907,0.000925911870932221,0.0304476677155083,0.0306805163552228,142744760,34
STRICT,24,8,18,26,0,0,0,7,0.000461634242171716,8.23749336625018e-05,0.0304476677155083,0.0305295973946516,571057457,32
STRICT,24,8,20,28,0,0,0,7,0.000138754369092275,4.54872974438925e-05,0.0304476677155083,0.0305214203824464,2284179818,30
STRICT,24,8,22,30,0,0,0,7,0.000109707853578556,2.60609136499399e-05,0.0304476677155083,0.0304389908840124,9136743991,28
STRICT,24,10,14,24,0,0,0,7,0.00677962042285518,0.0027664626297214,0.0304476677155083,0.0336593776871625,142795665,34
STRICT,24,10,16,26,0,0,0,7,0.00162338171508392,0.000926625929062094,0.0304476677155083,0.0306885331799451,570978785,32
STRICT,24,10,18,28,0,0,0,7,0.000469651066894006,8.57488100687031e-05,0.0304476677155083,0.0305376328458253,2284228810,30
STRICT,24,10,20,30,0,0,0,7,9.46711584637328e-05,4.60019791357504e-05,0.0304476677155083,0.0305294549022976,9136715188,28
STRICT,24,10,22,32,0,0,0,7,3.1437986756977e-05,1.1038579887056e-05,0.0304476677155083,0.0304470247053716,36546959622,26
COMPACT,24,4,14,18,0,0,0,7,0.00743353124349921,0.00279022453903943,0.0304476677155083,0.0338367611100141,2231335,40
COMPACT,24,4,16,20,0,0,0,7,0.00243619998137046,0.00108671722257164,0.0304476677155083,0.0308651119400922,8922154,38
COMPACT,24,4,18,22,0,0,0,7,0.00139105913169413,0.000411691110938187,0.0304476677155083,0.0307149082352582,35693519,36
COMPACT,24,4,20,24,0,0,0,7,0.001341468067241,0.000417395744190263,0.0304476677155083,0.0307065039803449,142770951,34
COMPACT,24,4,22,26,0,0,0,7,0.00134585416951083,0.000408144350506642,0.0304476677155083,0.0306240707566205,571085351,32
COMPACT,24,6,14,20,0,0,0,7,0.00690138097494453,0.00277647237694753,0.0304476677155083,0.0335935741593305,8924873,38
COMPACT,24,6,16,22,0,0,0,7,0.00175701514324977,0.000939195313806295,0.0304476677155083,0.030622878663725,35686751,36
COMPACT,24,6,18,24,0,0,0,7,0.000424485647315453,0.00012528108697351,0.0304476677155083,0.0304718404938642,142766607,34
COMPACT,24,6,20,26,0,0,0,7,0.000358036131930639,0.000101541272697698,0.0304476677155083,0.0304636448552076,571053927,32
COMPACT,24,6,22,28,0,0,0,7,0.000335678375147808,8.85227214950707e-05,0.0304476677155083,0.0303812153567735,2284221890,30
COMPACT,24,8,14,22,0,0,0,7,0.00676257637643118,0.00275960752060781,0.0304476677155083,0.0336515098740522,35698933,36
COMPACT,24,8,16,24,0,0,0,7,0.00162931237723907,0.000925911870932221,0.0304476677155083,0.0306805163552228,142744760,34
COMPACT,24,8,18,26,0,0,0,7,0.000461634242171716,8.23749336625018e-05,0.0304476677155083,0.0305295973946516,571057457,32
COMPACT,24,8,20,28,0,0,0,7,0.000138754369092275,4.54872974438925e-05,0.0304476677155083,0.0305214203824464,2284179818,30
COMPACT,24,8,22,30,0,0,0,7,0.000109707853578556,2.60609136499399e-05,0.0304476677155083,0.0304389908840124,9136743991,28
COMPACT,24,10,14,24,0,0,0,7,0.00677962042285518,0.0027664626297214,0.0304476677155083,0.0336593776871625,142795665,34
COMPACT,24,10,16,26,0,0,0,7,0.00162338171508392,0.000926625929062094,0.0304476677155083,0.0306885331799451,570978785,32
COMPACT,24,10,18,28,0,0,0,7,0.000469651066894006,8.57488100687031e-05,0.0304476677155083,0.0305376328458253,2284228810,30
COMPACT,24,10,20,30,0,0,0,7,9.46711584637328e-05,4.60019791357504e-05,0.0304476677155083,0.0305294549022976,9136715188,28
COMPACT,24,10,22,32,0,0,0,7,3.1437986756977e-05,1.1038579887056e-05,0.0304476677155083,0.0304470247053716,36546959622,26
