feature_count,held_out_group,test_count,lambda_ratio,safe_permission_threshold,true_danger,missed_danger,false_danger,true_safe
32,左转极限.txt|1,30,0.03,0.043,20,0,0,10
32,safe.txt|1,45,0.3,0.271,0,0,0,45
32,两太阳能板过度.txt|1,25,0.03,0.176,0,0,1,24
32,太阳能板直角边源.txt|1,8,0.3,0.265,8,0,0,0
32,太阳能板直角边源.txt|2,12,0.3,0.258,0,0,2,10
32,太阳能板直角边源.txt|3,4,0.03,0.157,0,0,0,4
32,太阳能板直角边源.txt|4,3,0.1,0.222,3,0,0,0
32,太阳能板直角边源.txt|5,27,0.1,0.23,18,0,0,9
32,太阳能板直角边源.txt|6,35,0.3,0.28,9,0,1,25
32,太阳能板直角边源.txt|7,25,0.03,0.101,0,0,9,16
32,太阳能板直角边源.txt|9,47,0.3,0.28,19,1,5,22
32,太阳能板直角边源.txt|10,23,0.3,0.243,23,0,0,0
48,太阳能板边缘中心旋转扫描.txt|1,27,0.1,0.232,13,0,4,10
48,左转极限.txt|1,30,0.03,0.042,20,0,0,10
48,safe.txt|1,45,0.03,0.128,0,0,1,44
48,两太阳能板过度.txt|1,25,0.03,0.134,0,0,1,24
48,太阳能板直角边源.txt|1,8,0.03,0.115,8,0,0,0
48,太阳能板直角边源.txt|2,12,0.03,0.145,0,0,2,10
48,太阳能板直角边源.txt|3,4,0.03,0.133,0,0,0,4
48,太阳能板直角边源.txt|4,3,0.03,0.133,3,0,0,0
48,太阳能板直角边源.txt|5,27,0.03,0.134,18,0,0,9
48,太阳能板直角边源.txt|6,35,0.03,0.153,9,0,1,25
48,太阳能板直角边源.txt|7,25,0.1,0.154,0,0,9,16
48,太阳能板直角边源.txt|9,47,0.1,0.297,19,1,3,24
48,太阳能板直角边源.txt|10,23,0.1,0.156,23,0,0,0
62,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.184,13,0,4,10
62,左转极限.txt|1,30,0.03,0.045,20,0,0,10
62,safe.txt|1,45,0.03,0.137,0,0,1,44
62,两太阳能板过度.txt|1,25,0.03,0.132,0,0,1,24
62,太阳能板直角边源.txt|1,8,0.03,0.112,8,0,0,0
62,太阳能板直角边源.txt|2,12,0.1,0.195,0,0,2,10
62,太阳能板直角边源.txt|3,4,0.03,0.13,0,0,0,4
62,太阳能板直角边源.txt|4,3,0.03,0.123,3,0,0,0
62,太阳能板直角边源.txt|5,27,0.1,0.184,18,0,0,9
62,太阳能板直角边源.txt|6,35,0.03,0.131,9,0,1,25
62,太阳能板直角边源.txt|7,25,0.3,0.223,0,0,9,16
62,太阳能板直角边源.txt|9,47,0.1,0.323,19,1,2,25
62,太阳能板直角边源.txt|10,23,0.3,0.212,23,0,0,0
