feature_count,pooled_lambda_ratio,pooled_safe_permission_threshold,pooled_missed_danger,pooled_false_danger,nested_evaluated_count,nested_true_danger,nested_missed_danger,nested_false_danger,nested_true_safe,nested_danger_recall,nested_safe_recall,nested_balanced_accuracy
4,0.3,0.25,0,150,311,113,1,58,139,0.991228070175439,0.705583756345178,0.848405913260308
6,0.3,0.163,0,185,311,106,8,176,21,0.929824561403509,0.106598984771574,0.518211773087541
8,0.3,0.152,0,150,311,106,8,126,71,0.929824561403509,0.360406091370558,0.645115326387034
12,0.03,0.052,0,53,311,109,5,54,143,0.956140350877193,0.725888324873096,0.841014337875145
16,0.1,0.105,0,47,311,113,1,50,147,0.991228070175439,0.746192893401015,0.868710481788227
24,0.3,0.288,0,9,311,114,0,19,178,1,0.903553299492386,0.951776649746193
32,0.03,0.158,0,15,311,113,1,18,179,0.991228070175439,0.908629441624365,0.949928755899902
48,0.03,0.133,0,23,311,113,1,21,176,0.991228070175439,0.893401015228426,0.942314542701932
62,0.03,0.123,0,24,311,113,1,20,177,0.991228070175439,0.898477157360406,0.944852613767922
