feature_count,rank,feature_name,standardization_mean,standardization_scale,standardized_coefficient,raw_coefficient
4,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.374161723525202,0.0166029601972314
4,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.723827118018118,-0.0186689185816379
4,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.427028449901738,0.0128579958517437
4,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.859903268378124,-0.0213310166198987
6,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.368379307593249,0.0163463726963573
6,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.46959802737333,-0.0121118525693466
6,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.218258089918239,0.00657183757996449
6,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.781017893887528,-0.0193741625222284
6,5,dark_left_edge,68.8933547695606,35.7465282866953,-0.472139580607181,-0.0132079841941716
6,6,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.345324912463733,-0.00889856081746321
8,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.37536207065993,0.0166562241054499
8,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.48247027114041,-0.0124438529391429
8,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.149281087744152,0.00449491270991376
8,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.501094847467054,-0.0124303080503761
8,5,dark_left_edge,68.8933547695606,35.7465282866953,-0.454613328488898,-0.0127176917669541
8,6,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.289705179516038,-0.00746531473986345
8,7,right_edge_valid_percent,25.2679528403001,34.319023196751,0.503349579924359,0.0146667804919346
8,8,row_dark_max,83.8553054662379,19.2139053095694,-0.436894758237458,-0.0227384673338566
12,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.56984550543006,0.0252861841561118
12,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.701849013841505,-0.018102060243178
12,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.328764029283632,0.00989921520616299
12,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.414133148998974,-0.0102731102543776
12,5,dark_left_edge,68.8933547695606,35.7465282866953,-0.717364005070682,-0.0200680748440033
12,6,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.205824493451877,-0.00530382172440989
12,7,right_edge_valid_percent,25.2679528403001,34.319023196751,0.613785350198525,0.0178846975532985
12,8,row_dark_max,83.8553054662379,19.2139053095694,-0.850221824791232,-0.0442503390691628
12,9,dark_right_edge,70.761655948553,36.1981851183191,-1.30625779262308,-0.036086278589752
12,10,grid_dark_r3_c2,68.688370846731,35.7349800212935,-0.67318698854341,-0.0188383199918477
12,11,dark_left,69.7151301370959,33.3106843996979,-0.77267856183325,-0.0231961178750281
12,12,column_dark_min,4.55519828510182,13.7955335593864,0.205816264550906,0.0149190506960038
16,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.488834179921384,0.0216914075438139
16,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.3304223991299,-0.00852224061982595
16,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.331643253042339,0.0099859097745324
16,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.399874056305706,-0.00991939495358746
16,5,dark_left_edge,68.8933547695606,35.7465282866953,-0.306213145165096,-0.00856623453637782
16,6,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.289928359492571,-0.0074710657891586
16,7,right_edge_valid_percent,25.2679528403001,34.319023196751,0.444066877344245,0.0129393798535119
16,8,row_dark_max,83.8553054662379,19.2139053095694,-0.436056065522532,-0.0226948170346898
16,9,dark_right_edge,70.761655948553,36.1981851183191,-0.439716637360152,-0.0121474774473602
16,10,grid_dark_r3_c2,68.688370846731,35.7349800212935,-0.275167198122659,-0.00770021972752454
16,11,dark_left,69.7151301370959,33.3106843996979,-0.256922296502237,-0.00771290957037699
16,12,column_dark_min,4.55519828510182,13.7955335593864,-0.0183054088778662,-0.00132690836487519
16,13,white_right_border_max,22.6736334405145,36.3132262314459,0.450664695517026,0.0124104835148679
16,14,dark_bottom_half,70.8528938906752,26.1984377376948,-0.481481426969284,-0.0183782495654891
16,15,longest_white_run_mean,22.6676714898178,25.19831774387,0.444099728614922,0.0176241816270833
16,16,grid_dark_r4_c1,72.2668810289389,35.0570343790245,-0.317218730779253,-0.0090486470518183
24,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.360201070232905,0.0159834736052958
24,2,grid_dark_r3_c1,69.0139335476956,38.7717753898209,-0.213307901475455,-0.00550162842250077
24,3,left_edge_valid_percent,26.2325830653805,33.2111205218524,0.229036566193837,0.0068963817719771
24,4,grid_dark_r1_c5,67.8912111468382,40.3123434621471,-0.213216142843336,-0.00528910315133486
24,5,dark_left_edge,68.8933547695606,35.7465282866953,-0.226543823597114,-0.00633750561117938
24,6,grid_dark_r1_c1,71.0409967845659,38.8068272552614,-0.204981325885581,-0.00528209442470693
24,7,right_edge_valid_percent,25.2679528403001,34.319023196751,0.276751064612102,0.00806407172562832
24,8,row_dark_max,83.8553054662379,19.2139053095694,-0.18756573261392,-0.00976197860830007
24,9,dark_right_edge,70.761655948553,36.1981851183191,-0.241959156773922,-0.00668428972289751
24,10,grid_dark_r3_c2,68.688370846731,35.7349800212935,-0.138138903351343,-0.00386564937965629
24,11,dark_left,69.7151301370959,33.3106843996979,-0.183084637728623,-0.00549627367398922
24,12,column_dark_min,4.55519828510182,13.7955335593864,0.0478860719874385,0.00347112866503501
24,13,white_right_border_max,22.6736334405145,36.3132262314459,0.23462080357368,0.00646102888458057
24,14,dark_bottom_half,70.8528938906752,26.1984377376948,-0.240021353645664,-0.00916166666305894
24,15,longest_white_run_mean,22.6676714898178,25.19831774387,0.209944150314328,0.00833167326677594
24,16,grid_dark_r4_c1,72.2668810289389,35.0570343790245,-0.209256638565167,-0.00596903424011161
24,17,grid_dark_r2_c3,65.4756162915327,34.9239587340865,-0.0922441531416362,-0.00264128571001901
24,18,grid_dark_r1_c4,70.9311361200429,35.5234464396234,-0.163091953678875,-0.00459110728335636
24,19,dark_all,69.7559619506967,26.9620729239955,-0.204507075655188,-0.00758499082142837
24,20,dark_right,70.8481519373802,31.8037392051152,-0.216356793644929,-0.00680287283987447
24,21,center_row_dark_max,89.6338244468973,14.9446362787665,-0.105234102759038,-0.00704159678402852
24,22,white_top_border_mean,19.3938236870311,24.1117264908847,0.14897302211272,0.00617844691333234
24,23,white_right_border_mean,12.0100482315113,21.1811845523069,0.171739230063845,0.0081081031912892
24,24,row_transition_max,13.6141479099678,4.69306205467388,-0.13792305566719,-0.0293887133944523
32,1,center_column_dark_min,11.6961414790997,22.5358441555257,0.864742576386386,0.038371874176027
