"source_file","scenario","segment","snapshot_id","begin_source_line","end_source_line","begin_frame","end_frame","threshold","roi_width","roi_height","roi_y_first","roi_y_last","row_count","expected_row_count","dark_left_count","dark_center_count","dark_right_count","d128_left_percent_exact","d128_center_percent_exact","d128_right_percent_exact","d128_left_percent_firmware","d128_center_percent_firmware","d128_right_percent_firmware","complete","status","content_sha256"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b18","459","485","2241","2241","128","200","24","88","111","24","24","179","140","322","11.131840796019901","8.706467661691542","20.328282828282827","11","8","20","True","complete","4712FFE123A89766BD02F1D7C4005F4CC3C3961653D9C7F7CAFD2490141F8A12"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b19","486","513","2275","2275","128","200","24","88","111","24","24","132","296","1354","8.208955223880597","18.407960199004975","85.47979797979798","8","18","85","True","complete","CD71BC8E2126264028CEEBD5EFBE5EE859E4FA5153E709F7EEDDC206373C5540"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b20","515","541","2311","2311","128","200","24","88","111","24","24","188","1470","1324","11.691542288557214","91.41791044776119","83.58585858585859","11","91","83","True","complete","BD736EF347ABF1AD7ECEF29861EE8DAD129E56FF3F48F8ED9CA3EF330B970880"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b21","542","568","2345","2345","128","200","24","88","111","24","24","1231","1460","1414","76.55472636815921","90.79601990049751","89.26767676767676","76","90","89","True","complete","B7E80B5B7A23668EB4A846A772ECC8008E4448ED7B85EFEEEF389FC7781449E5"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b22","569","595","2379","2379","128","200","24","88","111","24","24","1549","1489","1389","96.33084577114428","92.59950248756219","87.68939393939394","96","92","87","True","complete","20CA3DC504F5F4D32128A25A796643779505BB1AC3ADDFF81B1BF9C64F183AA0"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b23","596","622","2414","2414","128","200","24","88","111","24","24","1525","1498","1439","94.83830845771145","93.1592039800995","90.8459595959596","94","93","90","True","complete","036EF071C3C2AF38F5340EBAC67DDDD65AC33C404ED2AE673E3164429C371338"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b24","623","649","2449","2449","128","200","24","88","111","24","24","1523","1496","1447","94.7139303482587","93.03482587064677","91.3510101010101","94","93","91","True","complete","A6F2045AD54A09655E6AC7826292B648B31D455C7DD63423CCA065CAE847E701"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b25","651","677","2483","2483","128","200","24","88","111","24","24","1488","1451","1485","92.53731343283582","90.2363184079602","93.75","92","90","93","True","complete","1A7514CDA9CA2CC8356622198CA5DB8712E12A3F12A1992C4D6A479D90D993E3"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b26","678","704","2519","2519","128","200","24","88","111","24","24","1481","1445","1450","92.10199004975124","89.863184079602","91.54040404040404","92","89","91","True","complete","7BEE161BC5730539F1FB318871C8E8206EF5AAF144CCC39F1EB2E9950A75C6FA"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b27","705","731","2553","2553","128","200","24","88","111","24","24","1494","1440","1458","92.91044776119404","89.55223880597015","92.04545454545455","92","89","92","True","complete","285746A2CABBA5D0E16F424192C08AE7F191180AF8C1ADA0696FF17F7DCB5F43"
