source_file,scenario,segment,snapshot_id,begin_frame,content_sha256,status,complete,duplicate_count,is_canonical,is_excluded,exclusion_reason,dark_all,dark_left,dark_center,dark_right,dark_top_half,dark_bottom_half,dark_left_edge,dark_right_edge,row_dark_min,row_dark_max,row_dark_std,column_dark_min,column_dark_max,column_dark_std,center_row_dark_min,center_row_dark_max,center_row_dark_std,center_column_dark_min,center_column_dark_max,center_column_dark_std,white_left_border_mean,white_left_border_max,white_right_border_mean,white_right_border_max,white_top_border_mean,white_top_border_max,white_bottom_border_mean,white_bottom_border_max,internal_white_mean,internal_white_max,row_transition_mean,row_transition_max,longest_white_run_mean,longest_white_run_max,vertical_white_columns_75,horizontal_white_rows_75,dark_bbox_width,dark_bbox_height,white_centroid_x,white_centroid_y,white_cov_xx,white_cov_yy,white_cov_xy,bottom4_dark_left,bottom4_dark_center,bottom4_dark_right,bottom_white_run_mean,bottom_white_run_max,bottom_white_run_std,bottom_edge_valid_percent,bottom_edge_slope,bottom_edge_residual,left_edge_valid_percent,left_edge_slope,left_edge_residual,right_edge_valid_percent,right_edge_slope,right_edge_residual,grid_dark_r1_c1,grid_dark_r1_c2,grid_dark_r1_c3,grid_dark_r1_c4,grid_dark_r1_c5,grid_dark_r2_c1,grid_dark_r2_c2,grid_dark_r2_c3,grid_dark_r2_c4,grid_dark_r2_c5,grid_dark_r3_c1,grid_dark_r3_c2,grid_dark_r3_c3,grid_dark_r3_c4,grid_dark_r3_c5,grid_dark_r4_c1,grid_dark_r4_c2,grid_dark_r4_c3,grid_dark_r4_c4,grid_dark_r4_c5,rate_dark_all,rate_dark_left,rate_dark_center,rate_dark_right,rate_dark_bottom_half,rate_bottom_white_run_mean,rate_bottom_edge_slope,rate_white_centroid_x
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:orphan1,NaN,35A2D74D9B18DAC0729C0A167F990A088759206DD7FABE5D805FCBDA6D9E4BC7,incomplete_row_count,0,1,0,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b2,1687,09EE6D2D753F47FE7401E5395F07F5F3E223FE1F3C34DF42283630D744F655AC,complete,1,2,1,0,,75.625,79.228855721393,73.1965174129353,74.4318181818182,67.625,83.625,72.5,79.7916666666667,17,95.5,22.7883694591933,0,83.3333333333333,17.0176096103689,0,95.5223880597015,31.7240832563721,0,83.3333333333333,19.9987357633493,7.5,83,2.29166666666667,23,3.8125,100,6.52083333333333,100,14.5833333333333,63,7.25,14,17.9791666666667,83,4,8.33333333333333,100,100,49.7938409998711,50.3753251579338,804.818141500587,600.419776009908,-85.898769399887,80.9701492537313,74.6268656716418,75,6.52083333333333,100,19.33956996315,31,0.0221797226498477,15.512738751057,20.8333333333333,-0.512192307692307,34.0552661690693,20.8333333333333,-0.121192307692308,6.97718810454139,95,90.4166666666667,100,92.5,75.8333333333333,38.75,46.25,45.4166666666667,30.4166666666667,61.6666666666667,94.5833333333333,76.6666666666667,79.5833333333333,90,97.5,78.3333333333333,88.3333333333333,77.0833333333333,72.5,81.6666666666667,0,0,0,0,0,0,0,0
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b3,1722,1571F52166E308708E655B5075A14F2B21E346E1185FB4A6B84733FC951FA831,complete,1,2,1,0,,75.5208333333333,79.1044776119403,73.134328358209,74.3055555555556,67.625,83.4166666666667,72.0833333333333,79.5833333333333,17,95.5,22.736428903312,0,87.5,17.023696309595,0,95.5223880597015,31.7104052017171,0,83.3333333333333,19.9731983466239,7.52083333333333,83,2.3125,23,3.8125,100,6.5625,100,14.6458333333333,62.5,7.41666666666667,16,17.9583333333333,83,4,8.33333333333333,100,100,49.77739762643,50.5013876040703,807.583986343451,602.632413712249,-84.1547727220352,80.9701492537313,74.6268656716418,74.2424242424242,6.5625,100,19.3569747837974,31,0.0164551076643004,15.5438370937048,20.8333333333333,-0.514846153846154,33.9758964335238,20.8333333333333,-0.112346153846154,6.9380500474945,95,90.4166666666667,100,92.5,75.8333333333333,38.3333333333333,46.25,45.4166666666667,30.8333333333333,61.6666666666667,94.5833333333333,76.6666666666667,79.5833333333333,90,97.0833333333333,77.5,88.75,76.6666666666667,72.0833333333333,81.25,-0.00297619047619021,-0.00355366027007814,-0.00177683013503887,-0.0036075036075033,-0.00595238095238122,0.00119047619047622,-0.000163560428158494,-0.000469810669746299
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b4,1756,FB8A67A75188D2FEC82F274E8BAEDD6A057E7B1B02C5B7B6C2C64F93405C20D6,complete,1,2,1,0,,77.0208333333333,79.4776119402985,77.7363184079602,73.8005050505051,67.3333333333333,86.7083333333333,72.7083333333333,79.1666666666667,16.5,95.5,23.4856474055533,0,87.5,16.0641592730239,0,95.5223880597015,33.2372275125161,0,83.3333333333333,17.6262915149637,7.5625,83.5,2.35416666666667,23.5,3.8125,100,4.91666666666667,100,13.0625,63,6.5,14,18.0208333333333,83.5,4,8.33333333333333,100,100,50.5022847692679,47.9088651503804,859.976211433744,541.547629704239,-71.347891019027,83.2089552238806,88.0597014925373,74.2424242424242,4.91666666666667,100,18.4681732358374,24,-0.0325180403791046,14.1525336775075,20.8333333333333,-0.5175,34.2116208326937,20.8333333333333,-0.115,7.15262189689907,95,90.4166666666667,100,92.5,75.4166666666667,38.3333333333333,46.25,45.4166666666667,29.5833333333333,60.4166666666667,94.5833333333333,77.0833333333333,87.5,90,97.0833333333333,79.1666666666667,89.5833333333333,99.1666666666667,72.0833333333333,80.8333333333333,0.0441176470588235,0.0109745390693594,0.135352648522095,-0.0148544266191325,0.0968137254901962,-0.0484068627450981,-0.00144038670715897,0.0213202100834675
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b5,1791,4738C220833DF342AB769F13A95BB026C51DFF4F961B7006B9A7E8A0F58180A0,complete,1,2,1,0,,76.5625,79.3532338308458,76.4925373134328,73.8005050505051,67.3333333333333,85.7916666666667,72.7083333333333,79.1666666666667,16.5,95.5,23.4536140257651,0,87.5,16.0775135711283,0,95.5223880597015,33.0277266295533,0,83.3333333333333,17.8509408224228,7.5625,83.5,2.35416666666667,23.5,3.83333333333333,100,5.29166666666667,100,13.5208333333333,63,7.08333333333333,18,18.0833333333333,83.5,3.5,8.33333333333333,100,100,50.3754327191513,48.7304347826087,844.884007555615,567.63416089057,-76.599080426286,82.4626865671642,82.4626865671642,74.2424242424242,5.29166666666667,100,18.4395715058657,28,-0.014882739207471,13.0284170532342,20.8333333333333,-0.5175,34.2116208326937,20.8333333333333,-0.115,7.15262189689907,95,90.4166666666667,100,92.5,75.4166666666667,38.75,46.25,45,29.5833333333333,60.4166666666667,94.1666666666667,76.25,87.5,90,97.0833333333333,79.1666666666667,89.1666666666667,91.6666666666667,72.0833333333333,80.8333333333333,-0.0130952380952384,-0.00355366027007855,-0.0355366027007818,0,-0.0261904761904759,0.0107142857142857,0.000503865747760959,-0.00362434428904623
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b6,1825,6669594F34C84FC51678D798D1607CC85996792398D6698A465D8E1A5B05756E,complete,1,2,1,0,,78.2708333333333,79.8507462686567,71.3930348258706,83.6489898989899,72.5,84.0416666666667,86.875,96.25,60.5,92,9.49024575512951,0,100,16.2740475118406,32.8358208955224,95.5223880597015,20.4441214979325,4.16666666666667,79.1666666666667,14.2114473909796,3.35416666666667,34.5,0.0208333333333333,0.5,4.39583333333333,100,4.39583333333333,100,18.3541666666667,38.5,7.95833333333333,10,16.375,34.5,3,0,100,100,47.8572151264472,44.2786277043645,624.630492350796,746.1509677547,-150.903093472936,91.044776119403,69.4029850746269,95.4545454545455,4.39583333333333,100,15.7028560022559,21,0.577031357916199,21.7852796980158,16.6666666666667,-2.5415,2.79172885502872,4.16666666666667,0,0,92.5,100,72.9166666666667,38.3333333333333,86.25,67.9166666666667,39.5833333333333,47.0833333333333,97.9166666666667,82.5,62.0833333333333,94.1666666666667,90.4166666666667,78.75,85.8333333333333,91.25,88.3333333333333,62.5,94.5833333333333,92.5,0.0502450980392155,0.0146327187591453,-0.149985367281241,0.289661319073084,-0.0514705882352941,-0.0263480392156862,0.0174092381506962,-0.074065223314826
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b7,1860,74F8A83AE2430E9FAB98C791A28A2A38F1A8D397C4DE1E389B85CF4C2EB2B0F0,complete,1,2,1,0,,84.9375,76.2437810945274,87.6865671641791,90.9722222222222,82.5,87.375,81.0416666666667,79.1666666666667,80,91.5,3.28141174549587,33.3333333333333,100,15.0299666932283,76.1194029850746,94.0298507462687,4.82635007241015,45.8333333333333,100,14.2583345107433,0.729166666666667,8.5,0,0,3.10416666666667,50,2.3125,62.5,14.3333333333333,20,9.33333333333333,12,6.9375,11,0,0,100,100,42.0108842970037,46.4910698177882,906.859644877536,923.212565395087,163.178537660128,82.089552238806,83.5820895522388,89.3939393939394,2.3125,62.5,8.08569984699121,13.5,0.230226308018824,12.8211569211917,16.6666666666667,-0.6095,0.136930639376292,0,0,0,82.5,64.5833333333333,81.6666666666667,97.9166666666667,89.5833333333333,55,86.25,81.25,98.3333333333333,87.9166666666667,97.0833333333333,76.6666666666667,96.6666666666667,85.8333333333333,88.3333333333333,80.8333333333333,90,96.6666666666667,73.3333333333333,88.3333333333333,0.190476190476191,-0.103056147832267,0.465529495380242,0.209235209235209,0.0952380952380951,-0.0595238095238095,-0.00990871571135357,-0.167038023698386
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b8,1894,ADEF8C9B36CE64F18720BE93AC8CC84D97D1BD11BA38D862DBB778F4B287CD6C,complete,1,2,1,0,,86.9166666666667,84.1417910447761,86.1318407960199,90.530303030303,88.0833333333333,85.75,77.9166666666667,98.3333333333333,82.5,91.5,2.76887462097269,54.1666666666667,100,12.3775408538182,68.6567164179104,95.5223880597015,9.47526545542891,54.1666666666667,100,13.6157754525008,0.6875,5.5,0.0208333333333333,0.5,1.5,25,3.27083333333333,37.5,12.375,17.5,10.2916666666667,14,4.54166666666667,8,0,0,100,100,43.0872515443459,53.1293270562171,637.876240869831,1001.6397709666,279.935328055717,93.6567164179104,70.1492537313433,86.3636363636364,3.27083333333333,37.5,8.97719421938083,17,-0.236838228262085,12.3412389518916,25,-0.0449836333878887,1.09461061340593,4.16666666666667,0,0,71.6666666666667,82.5,97.0833333333333,83.3333333333333,99.1666666666667,86.6666666666667,88.3333333333333,87.5,88.75,95.8333333333333,88.3333333333333,90.4166666666667,78.75,83.75,98.75,94.5833333333333,80,65.8333333333333,80,97.0833333333333,0.0582107843137252,0.232294410301434,-0.0457272461223297,-0.0129976232917407,-0.0477941176470588,0.0281862745098039,-0.0137371922435562,0.0316578602159485
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b9,1929,3AE88B103E0A9239D497F267CA7EEAB57587CA1422BBAD21CA345BFF508BA21D,complete,1,2,1,0,,72.9375,89.4278606965174,76.4925373134328,52.5883838383838,74.5,71.375,79.5833333333333,0,68,76,2.30930301926417,0,100,30.104269001988,53.7313432835821,88.0597014925373,12.1354110559709,45.8333333333333,100,16.5669601633408,0.208333333333333,1.5,14.4791666666667,19,14.9583333333333,100,15,100,12.375,21.5,11.25,13,14.4791666666667,19,12,0,89.5,100,69.6005044467913,51.9429661612611,850.133413648522,927.736107504234,-98.2725232656759,88.8059701492537,58.5820895522388,60.9848484848485,15,100,31.2308009141586,21.5,0.305465954338491,14.2554963223985,25,0.00108235294117647,0.372327075271719,100,-0.09105,0.206151619780598,87.0833333333333,83.75,96.25,94.1666666666667,9.58333333333333,88.75,91.6666666666667,77.9166666666667,97.0833333333333,18.75,89.5833333333333,93.75,53.75,90.8333333333333,34.1666666666667,82.0833333333333,100,52.0833333333333,72.5,45,-0.399404761904762,0.151030561478323,-0.275408670931059,-1.08405483405483,-0.410714285714286,0.335119047619048,0.0154944052171593,0.757521511498438
太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,太阳能板边缘中心旋转扫描:s1:b10,1964,FBD51FE5598BA1488A8072C1E88763B4461F58D7EBA2DCF88993ED5123EDB7C9,complete,1,2,1,0,,55.0625,88.4328358208955,73.5074626865672,2.46212121212121,57.4166666666667,52.7083333333333,89.7916666666667,0,50.5,59,2.71194018466805,0,100,41.5762786350868,59.7014925373134,88.0597014925373,9.29748297296793,25,100,29.8680238581062,0.145833333333333,2,33.3333333333333,39.5,33.625,100,32.3541666666667,100,11.4583333333333,19.5,8.125,11,33.3333333333333,39.5,33,0,73.5,100,73.402245348206,51.4402047932918,474.760924368357,898.38573620414,-40.9288278480685,88.0597014925373,65.6716417910448,4.54545454545455,32.3541666666667,100,43.4540771655086,17.5,0.514095765381574,16.2621177199425,12.5,-0.1725,0.117851130197757,100,-0.123,0.734337257484236,86.6666666666667,97.5,96.6666666666667,7.91666666666667,0,82.0833333333333,96.25,82.0833333333333,25,0,92.0833333333333,86.25,65,22.0833333333333,0,92.5,86.6666666666667,74.1666666666667,8.33333333333333,0,-0.510714285714286,-0.0284292821606251,-0.0852878464818762,-1.43217893217893,-0.533333333333333,0.495833333333333,0.00596085174408808,0.10862116861185
